问题,答案,来源
假冒商品包括哪些？,"假冒商品是指未经品牌方或权利人许可，在相同或相似商品上使用相同商标的商品。以下情形不按照本规则处理：
（一）根据商家商品的全部信息，不会误认为属于权利人或者其授权人生产的商品；
（二）进口商品来源国的权利人与持有相同商标的境内权利人不同，且商家是持有相同商标的境内权利人或者已取得相同商标的境内权利人相应授权许可的；
（三）商品使用的商标先于注册商标在中国使用的。",文件获取
京东是如何发现商家“出售假冒商品”的？,京东发现的渠道包括但不限于采用京东抽检、行政部门通报、媒体报道、其他投诉反馈等。投诉反馈包括：权利人投诉、消费者投诉以及其他渠道投诉反馈等。,文件获取
商家应做好哪些资料留存？,商家应保存在售商品和过往销售商品的相关授权资质和采购链路凭证，以备查验。,文件获取
商家因出售假冒商品被开具违约单后，可以提交哪些资料进行申诉？,"（一）商家可提供包含涉诉商品型号的可追溯至权利人/出版社/品牌方的合法进货凭证，包括但不限于购物发票、电子订单、采购合同、生产厂家订/出货单、报关单、与进货凭证相对应的付款流水单等；
（二）商家可提供包含涉诉商品型号的可追溯至权利人/出版社/品牌方的合法品牌授权，包括但不限于商标注册证、商标受理通知书、生产厂家委托/授权销售凭证、授权链体系凭证等。",文件获取
商家关联方定义？,"关联方是指存在关联关系的关联方，包括但不限于：以关联人士名义入驻的关联方；同一经营主体的关联方；不同经营主体但存在同一法人代表、投资关系等关系的关联方；或通过技术手段识别出由同一实际控制人经营的关联方。
附则：
京东开放平台商家的行为，发生在本规则生效之日以前的，适用当时的规则。发生在本规则生效之日以后的，适用本规则。
京东可根据运营情况随时调整本规则并以公告的形式向商家公示。
商家应遵守国家法律、行政法规、部门规章等规范性文件。对任何涉嫌违反国家法律、行政法规、部门规章等规范性文件的行为，本规则已有约定的，适用于本规则。本规则尚无约定的，京东有权酌情处理。但京东对商家的处理不免除其应承担的法律责任。商家在京东的任何行为，应同时遵守与京东及其关联公司签订的各项协议；若商家服务协议约定的违约金金额高于规则约定的，京东有权适用协议约定。
本规则于2025年9月4日修订，于2025年9月11日生效。",文件获取
商家关联方定义？,关联方是指存在关联关系的关联方，包括但不限于：以关联人士名义入驻的关联方；同一经营主体的关联方；不同经营主体但存在同一法人代表、投资关系等关系的关联方；或通过技术手段识别出由同一实际控制人经营的关联方。,文件获取
容易造成消费者混淆”是指什么？,普通消费者在一般注意力的条件下对商品或服务的来源发生错误认知。,文件获取
“容易造成消费者混淆”如何排查认定？,京东会通过人工排查或系统排查的方式抓取目标品牌和商品，同时从品牌LOGO图片、商品图片、流量行为、评价数据、售后数据等多个维度对异常的品牌、商品数据进行核查判断，并依照大众的认知标准、消费者的相关反馈或大众评审对特定品牌或商品是否构成混淆的判断结论来确定该品牌或商品或店铺信息是否构成“容易造成消费者混淆”。,文件获取
发布混淆信息违规程度“极其严重”的包括哪些行为？,"包括但不限于：
1）大量或多次发布混淆信息的；
2）发布混淆信息且造成恶劣影响的，如产生大量消费者资损或投诉举报等；
3）发布的混淆商品或信息已造成舆情或监管事件的，或负面影响。",文件获取
发布混淆信息违规申诉材料如何准备？,"商家可提供能证明所发布的商品或信息不会造成消费者混淆的材料进行申诉，包括但不限于以下资料：
1）知识产权权属证明：自主品牌商标注册证或商标授权书，商品外观的专利证书（外观设计专利）或原创设计图纸、开发过程文档，著作权登记证书或其他相关权利证明等。
2）无混淆意图证明：商品信息与正版品牌的对比分析（如标识字体、图形、色彩差异的详细说明及佐证图）。
3）未造成混淆证明：如沟通记录、消费者评价等截图，可证明未引发消费者混淆或误解。
【附则】
1商家的行为，发生在本规则生效之日以前的，适用当时的规则。发生在本规则生效之日以后的，适用本规则。
2京东可根据运营情况随时调整本规则并以公告的形式向商家公示。
3商家应遵守国家法律、行政法规、部门规章等规范性文件。对任何涉嫌违反国家法律、行政法规、部门规章等规范性文件的行为，本规则已有约定的，适用于本规则。本规则尚无约定的，京东有权酌情处理。但京东对商家的处理不免除其应承担的法律责任。商家在京东的任何行为，应同时遵守与京东及其关联公司签订的各项协议；若商家服务协议约定的违约金金额高于规则约定的，京东有权适用协议约定。
4本规则于2025年9月4日修订，于2025年9月11日生效。",文件获取
发布混淆信息违规申诉材料如何准备？,"商家可提供能证明所发布的商品或信息不会造成消费者混淆的材料进行申诉，包括但不限于以下资料：
1）知识产权权属证明：自主品牌商标注册证或商标授权书，商品外观的专利证书（外观设计专利）或原创设计图纸、开发过程文档，著作权登记证书或其他相关权利证明等。
2）无混淆意图证明：商品信息与正版品牌的对比分析（如标识字体、图形、色彩差异的详细说明及佐证图）。
3）未造成混淆证明：如沟通记录、消费者评价等截图，可证明未引发消费者混淆或误解。",文件获取
假冒品牌有哪些常见违规情形？,"包括但不限于：
1）信息层：商品挂靠品牌 A，但商品标题、图片、规格选项、详情介绍等任一或多处位置显 示商品为品牌 B 或无品牌；
2）实物层：商品页面宣传品牌 A，消费者实际收到的商品实物为品牌 B 或无品牌。",文件获取
商家因假冒品牌被开具违约单后，可提供哪些材料进行申诉？,"包含但不限于：
1）与违规商品信息对应的商品实物信息、照片等；
2）采购、进货凭证；
3）库存证明；
4）其他可证明页面品牌与实物品牌一致的有效证明。",文件获取
假冒品牌违规程度严重、极其严重的情形包括哪些？,"包括但不限于：
1）大量或多次发布造成消费者产生品牌认知偏差信息的；
2）发布造成消费者产生品牌认知偏差信息且造成恶劣影响的，如产生消费者资损或引起消费 者投诉举报等；
3）发布造成消费者产生品牌认知偏差商品或信息，已造成舆情或监管事件的，或其他对京东 产生负面影响的情形。
附则：
京东开放平台商家的行为，发生在本规则生效之日以前的，适用当时的规则。发生在本规则 生效之日以后的，适用本规则。
京东可根据运营情况随时调整本规则并以公告的形式向商家公示。
商家应遵守国家法律、行政法规、部门规章等规范性文件。对任何涉嫌违反国家法律、行政 法规、部门规章等规范性文件的行为，本规则已有约定的，适用于本规则。本规则尚无约定 的，京东有权酌情处理。但京东对商家的处理不免除其应承担的法律责任。商家在京东的任何 行为，应同时遵守与京东及其关联公司签订的各项协议；若商家服务协议约定的违约金金额高 于规则约定的，京东有权适用协议约定。
本规则于2025年9月4日新增，于2025年9月11日生效。",文件获取
开具病假条服务可以发布吗？,病假条和医疗证明服务是属于医疗机构为患者诊断后才能开具的专用证明，需要专业资质才能提供的服务，因此请不要发布。,文件获取
骚扰他人违规如何区分违规程度的等级？,"1 违规程度一般包括但不限于：
通过电话、短信、咚咚、邮件等方式对他人实施侮辱、恐吓威胁、语言攻击的行为（如：带有辱骂含义的词汇、动物指代词汇、诅咒词汇等不文明用语）；
通过电话、短信、咚咚、邮件等方式频繁联系他人，影响他人正常生活的行为。",文件获取
什么情形会判定消费者投诉成立但不支持赔付？,"出现下述任一情形的：
消费者与卖家均存在骚扰、辱骂等相关行为，但消费者先行出现前述行为，且卖家未产生促使消费者情绪升级、矛盾激化等行为的。如，卖家未有激烈（基于频次、程度等判断）回骂、向消费者邮寄商品进行恐吓、威胁上门等。
经京东认定，消费者在交易前不以成交为目的，交易后不以解决售后争议为目的，滥用本规则以实现其牟利意图的。如，出现挑衅、故意激怒卖家等行为，诱使或致使卖家违规。",文件获取
什么情形会判定消费者投诉成立但不支持赔付？,出现下述任一情形的：,文件获取
什么是恶意铺品？,通过恶意使用批量发布工具、搬运他人商品、重复上架、信息造假等不当方式，上架大量无实质售卖价值、信息虚假、低质冗余的无效商品，导致店铺无效商品数量大幅激增、影响平台正常经营秩序。,文件获取
恶意铺品会有哪些处理措施？,"管控措施：包括但不限于违规商品下架且限制重新上架、限制店铺内商品发布数量上限、限制每日新发商品数、全店商品流量降权 / 屏蔽、限制提报平台营销活动、加收风险保证金、限制关联品类商品上架。
限权措施：限制新品标识申请、限制厂自模式使用权限、限制 ISV 工具部分功能使用、限制商品信息批量编辑权限。",文件获取
为什么对恶意铺品进行管控？,"1）大量无效低质商品在信息真实性、商品质量、服务标准、履约及售后保障等关键环节均无有效保障，严重侵害消费者得购物体验，违背平台 “保障消费者权益” 的核心原则
2）大量无效低质商品挤占平台公共资源，降低运营效率，影响平台秩序与可持续发展。
3）恶意铺货商家无需投入实质经营成本，通过批量铺货抢占流量曝光等核心资源，规避正常经营竞争，既破坏了平台公平竞争环境，也直接侵犯了合规商家的公平竞争权益。",文件获取
什么行为会被判定为恶意铺品？,"判定为恶意铺品的情况包括但不限于：
1）批量复制京东平台内及平台外他人店铺的商品标题、主图、详情页等核心信息，仅做轻微修改（如替换关键词、调整图片顺序）或完全照搬后上架销售；
2）大量上架重复 / 高度相似商品、信息虚假（如材质 / 规格 / 功能标注与实际不符）、关键信息缺失、详情页空白 / 杂乱，或盗用他人原创素材、无实质售卖价值的无效商品
3）店铺商品总量显著超出同类合规店铺正常水平，缺乏有效运营动作（如无商品信息维护、售后响应低效等），动销率低，且无法提供稳定货源证明（如供货协议、库存凭证等）；
4）大量商品标价显著高于同品类同规格合规商品合理价格区间，且无成本上涨、独家授权等正当理由，同时伴随商品信息批量复制、无效铺货等特征。
5）通过多账号、关联店铺、关联主体协同铺货，大量上架无效商品。",文件获取
商家因恶意铺品被开具违约单后，可提供哪些材料进行申诉？,商家在申诉时可以提供包括但不限于商品信息原创 / 合法授权证明（如设计底稿、授权协议、知识产权登记证书等）、稳定货源证明（如供货协议、库存凭证、采购发票等）、商品价格合理性依据（如成本核算表、市场定价说明、独家授权证明等）、无效商品整改完成截图、店铺有效运营记录（如商品信息维护记录、售后响应记录、动销率提升情况、广告计划运行情况等）；平台将结合材料进行综合判断。,文件获取
商家被判定为恶意铺品违规后，有哪些方式可进行整改？,"1）全面清理违规商品，下架或删除全部无效商品。
2）规范商品信息发布，补充完善商品标题、主图、详情页等核心信息，确保关键属性（规格、材质、功能等）真实完整，若使用其他平台商品信息需提供合法授权证明。
3）优化店铺运营质量，控制店铺商品总量在同类合规店铺合理范围，通过完善商品信息、提升客服响应效率、售后满意度等提升动销率等经营指标。
附则
1京东可根据平台运营及生态治理需要，随时调整本恶意铺品治理规则，并以公告形式向商家公示，公示后即生效。
2商家应遵守国家法律、行政法规、部门规章等规范性文件。对任何涉嫌恶意铺品及违反国家法律、行政法规、部门规章等规范性文件的行为，本规则已有约定的，适用本规则；本规则尚无约定的，京东有权酌情处理，但不免除商家应承担的法律责任。商家在京东的任何行为，应同时遵守与京东及其关联公司签订的各项协议；若商家服务协议约定的违约金金额高于本规则约定的，京东有权适用协议约定。
3本规则于 2025年10月30日新增，于 2025年11月6日生效。",文件获取
商家被判定为恶意铺品违规后，有哪些方式可进行整改？,"1）全面清理违规商品，下架或删除全部无效商品。
2）规范商品信息发布，补充完善商品标题、主图、详情页等核心信息，确保关键属性（规格、材质、功能等）真实完整，若使用其他平台商品信息需提供合法授权证明。
3）优化店铺运营质量，控制店铺商品总量在同类合规店铺合理范围，通过完善商品信息、提升客服响应效率、售后满意度等提升动销率等经营指标。",文件获取
商家被判定为恶意铺品违规后，有哪些方式可进行整改？,"1）全面清理违规商品，下架或删除全部无效商品。
2）规范商品信息发布，补充完善商品标题、主图、详情页等核心信息，确保关键属性（规格、材质、功能等）真实完整，若使用其他平台商品信息需提供合法授权证明。
3）优化店铺运营质量，控制店铺商品总量在同类合规店铺合理范围，通过完善商品信息、提升客服响应效率、售后满意度等提升动销率等经营指标。
附则
1京东可根据平台运营及生态治理需要，随时调整本恶意铺品治理规则，并以公告形式向商家公示，公示后即生效。
2商家应遵守国家法律、行政法规、部门规章等规范性文件。对任何涉嫌恶意铺品及违反国家法律、行政法规、部门规章等规范性文件的行为，本规则已有约定的，适用本规则；本规则尚无约定的，京东有权酌情处理，但不免除商家应承担的法律责任。商家在京东的任何行为，应同时遵守与京东及其关联公司签订的各项协议；若商家服务协议约定的违约金金额高于本规则约定的，京东有权适用协议约定。
3本规则于 2025年11月28日修订，于 2025年12月5日生效。",文件获取
在京东开放平台开设POP店铺是否有企业注册资金或者注册年限的要求？,没有注册资金和注册年限要求。,文件获取
规则中为什么没找到我想要经营类目的资质要求？,"部分类目没有特殊的资质要求，与平台整体要求保持一致；不同店铺类型和类目资质要求会有区别，您可以通过如下两种方式快速获取信息：
①访问链接：https://lai.jd.com/lai/qualificationFees进行查询；
②访问京东招商官方网站：https://lai.jd.com/lai/index，点击右侧开店AI助手进行咨询。",文件获取
入驻的时候找不到想要经营类目？,普通企业店，个人/个体店因业务运营策略不同，开放招商的类目会有不同，如无法选择对应的类目，则说明当前该类目暂未开放招商，您也可以选择其他意向类目进行经营，开店后可通过京东提供的货源平台等工具进行运营。,文件获取
资质到期提醒在哪里可以看？,资质到期会提前90天提醒您，您可以在京麦首页上方的黄条提醒中查看，请您及时关注京麦提醒。,文件获取
资质驳回原因在哪里可以查看？,资质驳回之后，您可以在京麦首页，我的申请-品牌类目审核中查询具体驳回原因，如您对驳回原因不清楚，也可以联系驳回原因中的联系方式跟客服进行进一步的沟通了解。,文件获取
商家关联方定义？,"关联方是指存在关联关系的关联方，包括但不限于：以关联人士名义入驻的关联方；同一经营主体的关联方；不同经营主体但存在同一法人代表、投资关系等关系的关联方；或通过技术手段识别出由同一实际控制人经营的关联方。
附则：
京东开放平台商家的行为，发生在本规则生效之日以前的，适用当时的规则。发生在本规则生效之日以后的，适用本规则。
京东可根据运营情况随时调整本规则并以公告的形式向商家公示。
商家应遵守国家法律、行政法规、部门规章等规范性文件。对任何涉嫌违反国家法律、行政法规、部门规章等规范性文件的行为，本规则已有约定的，适用于本规则。本规则尚无约定的，京东有权酌情处理。但京东对商家的处理不免除其应承担的法律责任。商家在京东的任何行为，应同时遵守与京东及其关联公司签订的各项协议；若商家服务协议约定的违约金金额高于规则约定的，京东有权适用协议约定。
本规则于2026年3月31日修订，于2026年4月8日生效。",文件获取
不当获取/使用信息里的“信息”指什么？,"不当获取/使用信息里的“信息”指“平台商业信息”和“他人信息”。
平台商业信息是指平台的产品、技术、软件、程序、数据等信息，包含但不限于店铺信息、创作者信息、团长信息、商品信息、成交额、搜索、浏览、加购、订单、评价等相关信息。
他人信息包括但不限于：真实姓名、手机号码、收货地址、身份证信息、及其他涉及他人隐私权或人身权或商业秘密等相关信息。",文件获取
商家不当获取/使用信息的情形有哪些？,"商家不当获取/使用信息的情形包括但不限于商家在未经平台或他人事先许可的情况下，进行如下任一行为：
向第三方租借账号；
与第三方共享账号；
自行、授权或协助第三方对平台商业信息或平台系统进行地址扫描、网络端口扫描、操作系统探测等扫描或探测；
自行、授权或协助第三方以包括通过机器人、蜘蛛等程序或设备监视、复制、传播、展示、镜像、上传、下载等方式擅自获取使用平台商业信息；
向第三方有偿或无偿提供平台商业信息或他人信息；
对外披露、共享平台商业信息或他人信息；
商家违规使用第三方软件，导致平台商业信息或他人信息存在泄露风险或已经发生泄露；
商家在职员工或员工离职前，滥用/泄露平台商业信息或他人信息；
商家违规开通子账号，滥用/泄露平台商业信息或他人信息；
盗用他人账户；
其他未经允许或违反有关信息数据安全的法律法规、政策文件、协议、规则等。",文件获取
骗取他人财物违规包括哪些情形？,"商家骗取他人财物包括但不限于以下情形：
（1）商家在交易中诱导客户违背京东正常交易流程操作，获取客户财物的；
（2）商家提供商品或者服务过程中有欺诈行为的。例如交付商品/服务与消费者订单不一致从而获取不当利益的情形，或故意提供无法使用的商品或无法履约的服务的情形；
（3）商家发送钓鱼链接或病毒信息用于骗取他人财物的；
（4）商家假借京东及其关联公司工作人员名义行骗的；
（5）商家向他人提供京东商家账户实施诈骗行为的；
（6）商家诈骗客诉聚集且存在异常订单、异常用户占比高等异常情形。
附则：
商家的行为，发生在本规则生效之日以前的，适用当时的规则。发生在本规则生效之日以后的，适用本规则。
京东可根据运营情况随时调整本管理规则并以公告的形式向商家公示。
商家应遵守国家法律、行政法规、部门规章等规范性文件。对任何涉嫌违反国家法律、行政法规、部门规章等规范性文件的行为，本规则已有约定的，适用于本规则。本规则尚无约定的，京东有权酌情处理。但京东对商家的处理不免除其应承担的法律责任。商家在京东的任何行为，应同时遵守与京东及其关联公司签订的各项协议；若商家服务协议约定的违约金金额高于规则约定的，京东有权适用协议约定。
本规则于2024年12月31日修订，于2025年1月7日生效。",文件获取
什么样的语言是不文明语言？,商家在沟通过程中出现包括但不限于挑衅、质问、诋毁、辱骂等词语（含商家发送后被系统拦截的违规信息），严重影响消费者购物体验的语言等。,文件获取
骚扰他人违规如何区分违规程度的等级？,"（一） 违规程度轻微包括但不限于：商家存在骚扰他人违规行为；
（二） 违规程度一般包括但不限于：
通过电话、短信、咚咚、邮件等方式对他人实施侮辱、恐吓威胁、语言攻击的行为（如：带有辱骂含义的词汇、动物指代词汇、诅咒词汇等不文明用语）；
通过电话、短信、咚咚、邮件等方式频繁联系他人，影响他人正常生活的行为。
（三） 违规程度严重包括但不限于：商家多次产生“违规程度一般”情形；
（四） 违规程度极其严重包括但不限于：
严重影响他人正常生活，给他人身心造成极大伤害或造成严重恶劣影响的行为，如向消费者邮寄商品进行恐吓等行为；
多次产生“违规程度严重”情形或产生严重损害消费者体验重大舆情的。",文件获取
如商家被投诉骚扰他人，应如何提交申诉？,商家若被投诉"骚扰他人"，可在申诉期内就投诉方所表述的情况进行有针对性的说明和举证。路径“商家后台--体检中心—违规处理”通过查看违约单的“商家申诉”按钮进行凭证提交，商家可提供聊天记录截图（京东开放平台认可的聊天工具）等用以说明沟通情形。,文件获取
