问题,答案,来源
虚假交易管理规则中“为他人虚假交易服务、帮助和便利”具体指什么？,商家发布虚假交易相关服务类信息。如：商家在公众平台以文字或语音形式发布虚假交易或雇佣他人进行虚假交易等相关信息；,文件获取
虚假交易管理规则中“存在情节恶劣、行为密集、后果严重、恶意规避监管等特殊情节”具体指什么？,"包括但不限于以下情形：
（1）通过公司转账、货到付款等支付方式，短期内产生大量大额异常订单，且订单长时间未完成；
（2）通过赠品绑定、订单拆分等方式，短期内产生大量异常订单；
（3）异常订单超过售后周期，仍提交售后申请退款。",文件获取
如何理解“限制渠道专属技术服务费权益”？,专属技术服务费渠道享有专属技术服务费费率、非平台标准技术服务费费率。渠道权益包括开通专属技术服务费渠道资格、渠道专属技术服务费权益等。限制渠道专属技术服务费权益指对前述技术服务费费率、资格、权益等进行取消或调整，比如对于合作期间的技术服务费，均调整为按平台标准扣点收取。,文件获取
虚假交易违规商家应如何申诉？,"如商家认为京东对虚假交易的判定有误，商家可进行申诉。申诉成立的条件：举证证明异常交易是基于真实消费场景并合理解释异常交易的原因。
注：平台严禁刷单，对商家使用自有账号、自行注册新账号或操纵其他账号、利用第三方炒作团伙或工具刷单，及存在虚假物流手段发货等行为，不予申诉通过。
（一）申诉路径
商家在商家后台收到虚假交易违约单的7日内可发起申诉，超时将无法申诉。申诉路径：京麦后台-店铺-店铺合规-违约单记录，可依据以下信息提交申诉材料。
（二）要求及格式
申诉材料文件以订单号命名；
提供材料截图、照片等要求清晰可见；
补充物流单号及截图信息以Excel、word形式提供；
如有多个材料，需以压缩包形式提供。
（三）商家需提供能够证明订单为真实交易的资料，包括但不限于：
物流快递电子面单，面单单号与订单发货填写的单号需一致，且面单上需含有包裹重量，若没有，需补充快递系统后台含有重量的走件完整截图；
与订单相对应的发票、合同、咚咚沟通记录、恶意订单删单证明以及其他可证明真实交易的凭证；
如参与活动，需提供与活动相关的证明截图，如促销活动时间、活动内容和形式、参与活动系统截图、与京东在线查询物流信息沟通邮件截图等。
注：如因申诉材料提供不完整或未按要求格式提供，可能影响申诉结果。",文件获取
平台如何区分营销套利违规程度的轻微、一般、严重、极其严重？,京东将根据包括但不限于商家违规套取平台补贴金额、套取平台补贴的次数等来判定违规程度。,文件获取
商家通过不正当方式套取平台补贴，常用的手段包括哪些？,"商家实施营销套利的常用手段包括但不限于以下情形：
（一）商家通过非真实交易来套取京东平台补贴；
（二）商家将不得使用特定类目平台补贴的商品，违规发布在该特定商品类目的；
（三）商家将一件商品拆分为多个不同形式或页面发布，重复使用平台补贴。包含但不仅限于以下情况：商品和商品的运费分开发布或一个商品拆分不同价格打包出售；
（四）商家通过提高商品价格方式套取平台补贴，包括但不限于以下情况：提高价格搭配店铺促销套取平台补贴；利用平行优惠套取平台补贴；价格设置高于同平台或市场售卖价格套取平台补贴；
（五）商家利用用户套取平台补贴，包括但不限于以下情况：用户使用平台补贴后支付多件商品，但商家只发货其中一件商品；商家提高商品价格，诱导或同意用户使用平台补贴后返还消费者相应差价；
（六）商家利用平行优惠政策，根据京东营销活动资源的让利力度，自行降低店铺原有优惠力度，使得京东营销资源与店铺优惠叠加后，用户未能享受到应有的优惠金额；
（七）商家在交易过程中，骗取京东款项的行为，如：利用非法手段骗取京东保证金、京东优先赔付或用非法手段套取京东货款等款项的；利用京东退款服务骗取退款款项的；利用京东返利服务骗取京东返利款项的；
（八）商家实施的其他套取平台补贴等资源的不正当手段。",文件获取
商家通过不正当手段获取资源包括哪些情形？,"商家通过不正当手段获取资源包括但不限于以下情形：
（一）商家涉嫌利用数据造假等不正当方式获取流量资源等行为；
（二）商家虚构销量，之后异常退货等；
（三）其他通过虚假方式获取京东资源，损害京东、消费者或其他商家权益的行为。",文件获取
不当获取/使用信息里的“信息”指什么？,"不当获取/使用信息里的“信息”指“平台商业信息”和“他人信息”。
（一）平台商业信息是指平台的产品、技术、软件、程序、数据等信息，包含但不限于店铺信息、创作者信息、团长信息、商品信息、成交额、搜索、浏览、加购、订单、评价等相关信息。
（二）他人信息包括但不限于：真实姓名、手机号码、收货地址、身份证信息、及其他涉及他人隐私权或人身权或商业秘密等相关信息。",文件获取
商家不当获取/使用信息的情形有哪些？,"商家不当获取/使用信息的情形包括但不限于商家在未经平台或他人事先许可的情况下，进行如下任一行为：
（一）向第三方租借账号；
（二）与第三方共享账号；
（三）自行、授权或协助第三方对平台商业信息或平台系统进行地址扫描、网络端口扫描、操作系统探测等扫描或探测；
（四）自行、授权或协助第三方以包括通过机器人、蜘蛛等程序或设备监视、复制、传播、展示、镜像、上传、下载等方式擅自获取使用平台商业信息；
（五）向第三方有偿或无偿提供平台商业信息或他人信息；
（六）对外披露、共享平台商业信息或他人信息；
（七）商家违规使用第三方软件，导致平台商业信息或他人信息存在泄露风险或已经发生泄露；
（八）商家在职员工或员工离职前，滥用/泄露平台商业信息或他人信息；
（九）商家违规开通子账号，滥用/泄露平台商业信息或他人信息；
（十）盗用他人账户；
（十一）其他未经允许或违反有关信息数据安全的法律法规、政策文件、协议、规则等。",文件获取
骗取他人财物违规包括哪些情形？,"商家骗取他人财物主要包括但不限于以下情形：
（一）商家在交易中诱导客户违背京东正常交易流程操作，获取客户财物的；
（二）商家提供商品或者服务过程中有欺诈行为的。例如交付商品/服务与消费者订单不一致从而获取不当利益的情形，或故意提供无法使用的商品或无法履约的服务的情形；
（三）商家发送钓鱼链接或病毒信息用于骗取他人财物的；
（四）商家假借京东及其关联公司工作人员名义行骗的；
（五）商家向他人提供京东商家账户实施诈骗行为的。",文件获取
资质不合格包括哪些情形？,"包括但不限于以下情形：
未按京东要求时间更新、提交符合京东要求的最新资质或信息的；
在风险调查中不提交材料或提交的材料不符合平台要求的；
商家向京东提供虚假资料或信息；
因商家行为引发行政机关调查或法律诉讼的，若商家存在提供的联系方式无效，或怠于处置、消极应对、拒不配合提交相关资料等情形；
商家未提交符合京东要求的商品信息，包括但不限于商品的标识标志信息（如产品名称、生产厂厂名、厂址、产品质量检验合格证明、生产日期和安全使用期等）。
未更新或变更证照信息。未更新店铺证照信息，指商家未在其营业执照信息或其店铺经营业务有关的行政许可信息变更完成之日起十个工作日内完成更新店铺证照信息的行为；未变更证照信息，指商家实际经营信息发生变化但未变更其营业执照信息及其店铺经营业务有关的行政许可信息登记事项的行为。",文件获取
什么是“风险调查”？“风险调查”过程中要求商家提供的资质有哪些？,京东将根据系统识别、媒体报道、用户投诉及商家举报等多维度对违规店铺进行判定，当识别到商家店铺疑似存在违规行为时，京东有权发起风险调查，要求商家提供以下材料，包括但不限于：包裹出库打包图片、包裹丢件证明、不可抗力等因素证明、仓储照片及合同证明、订单系统物流信息、法人辅助证明文件、运单承接方官方证明、进货凭证、快递公司合作证明、商标注册证/商标注册申请受理通知书、商品辅助证明、手持身份证照片、完税凭证、完整快递包裹面单、委托加工证明、消费者已签收的凭证、销售授权书、银行对账单、质检/检疫/检验报告等，如有特殊经营模式，商家应提供相关资质凭证及相关合作协议等。,文件获取
商家向京东提供虚假资料或信息中违规程度严重或极其严重是指什么？,"商家向平台京东提供虚假凭证致使消费者受到损失或者引发相关风险的；出现负面监管风险、舆情事件的或者提供虚假凭证致使平台受到损失或者引发相关风险的，都属于违规程度严重。违规程度严重包括但不限于如下情形：
招商入驻及经营过程中提供虚假资质证明：
（一）企业资质造假（如：企业营业资质造假、一般纳税人资质造假）；
（二）品牌资质造假（如：品牌授权书造假、品牌商标注册证造假）；
（三）特殊行业经营许可资质造假（如：食品经营许可证造假、图书经营许可证造假）；
（四）其他商品资质造假。
商家在“出售假冒商品”的申诉过程中，提供虚假凭证的；
商家在“不当使用他人权利”的申诉过程中，提供虚假凭证的。
商家出现两次及以上严重违规或产生严重损害消费者体验重大舆情的，属于违规程度极其严重。",文件获取
商家资质不具备特定行业资质的类目经营权，发布超范围经营的商品指什么？,国家明确有资质要求或平台有特定要求的行业，商家未取得行业经营许可（如商家无药品、食品、医疗器械商品、成人用品等的经营资质），且将商品错放在非对应类目的（比如，血压计挂在运动户外类目）。,文件获取
“未按京东要求时间更新、提交符合京东要求的最新资质”指的是什么？,包括但不限于市场监管信息中商家出现了经营异常的情况；商家实际经营信息发生变化但未变更其营业执照登记；商家在其营业执照信息变更完成后未在平台及时更新店铺营业执照信息；市场主体登记信息、与经营业务有关的行政许可信息发生变更而未在平台及时更新的行为等。因商家资质信息未及时、完整更新而造成商家不符合京东平台入驻、经营资质要求的，京东有权根据法律法规、协议、规则等对商家进行处理。,文件获取
“品牌信息不一致”和“类目乱挂”违规情形的案例？,相关案例及解读：,文件获取
类目乱挂违规后商家应如何整改？,"商家应确保所有商品根据商品属性挂在相应的类目下，不得乱挂类目。
（1）商家在收到违约单后，须进行全店铺的自查自检，保证商品处在正确类目下，如果在自查中发现存在类目乱挂的情况，需通过商家后台自行整改，变更商品类目。具体操作如下：
商家后台-商品管理-在售商品管理、待售商品管理，点击“修改商品”在页面上选择“类目迁移”，重新选择后保存即可；
（2）商家须认真修改被下架商品，保证其挂靠在正确类目下方可通过再上架。",文件获取
虚拟商品应如何发布？,虚拟商品需依据《京东行业运营标准》规定的通过虚拟商品发布平台进行发布，虚拟商品发布操作路径详见http://psm.jd.com/article/articledetail.html?id=671（http://psm.jd.com/article/articledetail.html?id=671）。,文件获取
如何规避类目乱挂违规？,商家在创建商品时，第一步即选择商品所在的类目，在类目选择框下录入类目时务必保证类目准确，部分类目可参考类目释义。,文件获取
标题违规案例？,"案例一： 标题中出现信息互斥；
短袖商品标题中不应出现长袖，长袖商品标题中不应出现短袖（违规图片仅供参考）
案例二： 标题中出现与售卖商品无直接关系或无关信息；
此商品为皮靴，不应出现与本商品无关的产品词板鞋、风衣、牛仔裤（违规图片仅供参考）。",文件获取
主图违规案例？,"案例一： 未按照主图（首图）展示规范设计主图，主要包括：使用人民币对照商品尺寸；添加任何水印、第三方及京东平台名义logo及文本信息；出现与实际不符的价格信息；出现大面积牛皮癣遮挡商品主体。
案例二： 主图禁止出现不适图，如身体（包含皮肤）疾病、污垢、血腥、人体分泌物/排泄物相关内容，展示令人反感的动物、鬼畜、精神污染或强烈冲击的内容（违规图片仅供参考）。
案例三： 主图图片质量低下：商品图片出现扭曲、拉伸、变形情况，方图存在非等比(1:1)压缩；手机拍照出图，图片像素低或者整体展示比较模糊。
案例四： 主图不得出现违禁词：如涉嫌限制购物类型词汇，用户歧义的营销词汇等（违规图片仅供参考）。",文件获取
属性违规案例？,"案例一： 根据商品图片判断该商品为长袖T恤，但在属性值中“袖长”为短袖，属性与商品详情页不相符并且属性值填写错误。
案例二： 营销属性错误：营销属性是用于描述商品营销特性，客观存在的商品信息，如目标人群、适用场景、风格、用途、特质特征等。通过下图商品的主图及商详，可判断商品本身为商务风，错误挂靠“中国风、休闲风”。",文件获取
重复铺货违规中同款商品是指怎样的商品？,同款商品是指完全相同以及商品的重要属性完全相同或高度相似的商品。对于不同的商品，商家必须在商品的标题、描述、图片、重要属性等方面体现商品的不同，否则京东有权判定为同款商品。,文件获取
哪些情形属于在店铺发布两件及以上同款商品（SKU）？,"同款商品包括但不限于以下情形：
（1）店铺中同时出售两件以上完全相同的商品，两件完全相同商品（SKU）在不同的SPU下或者两件商品（SKU）在相同的SPU下；
（2）同款商品，通过更改其价格、时间、数量、组合方式及其它发布形式进行多次发布；
（3）各类目下商品，出现诸如以下任一情形的：
1）同款商品不同颜色分别发布：例如，一条连衣裙，商家店铺中出售的一件商品，其主图中分别展示了红色款、白色款，但店铺中又单独出现了该连衣裙的红色款或白色款；
2）同款商品以大小规格不同分别发布；
3）同款商品附带不同的赠品分别发布；
4）专车专用脚垫、专车专用座套、专车专用后备箱垫、DVD导航类目的专车专用商品在不同车型分别发布。",文件获取
针对在店铺中同时出售两件及以上同款商品，平台将如何处理违规商品？,平台将保留同款商品中商品质量得分最高的一件，删除其他同款商品。,文件获取
商家应如何关注重复铺货预警？,在商家后台 >体检中心 > 违规预警 > 重复铺货预警中，可查看每日预警信息，商家需要对表中违规商品(SPU)进行自查处理，并根据系统提示的商品信息质量分以及GMV等信息对商品做出下架、删除等处理。 若预警后仍不整改，除删除违规商品外，京东有权视违规程度采取包括但不限于扣分、删除违规商品、限制创建商品、限制新品标签权益、店铺商品搜索降权及限制提报营销活动等处理措施。,文件获取
商家更换商品违规会造成什么不良影响？,"1）消费者在浏览商品时，会在商品评价界面看到两种不同商品的评价或者消费者在初次购买之后想要对某商品进行复购或评价，进入商详页发现商品更换，产生不好的消费体验；
2）商家利用原商品的流量或者评论来提高更换后新商品的销量，涉嫌不正当竞争。",文件获取
如何规避更换商品违规？,"（1）通过正规流程发布新品
商家如需上架新商品，需遵守商品信息发布规范且按流程操作，避免因直接更改已有商品关键信息而违规；
（2）关注预警提醒，及时整改
预警提醒查看路径:商家后台-体检中心-违规预警-更换商品预警(如下图)：
（3）提交申诉时确保有理有据
商家如果收到更换商品的违规预警提醒，请第一时间整改。如收到违约单并对违约单内容有异议，请在规定时间内提交申诉并附上证据证明未更换商品，避免提交无效申诉。一旦违约单生效，被下架的商品不支持再次上架。",文件获取
商家出现“不当发布商品或信息”违规后，应如何做？,"（1）销售商家需及时对店铺装修页面、商品详情页面进行自查自检，检查商品标题、主图、属性等是否违规并及时修改；
（2）销售商家需注意查看预警信息及违约单信息，预警渠道为：商家后台-体检中心-违规预警。及时删除违规信息，并按规定修改商品信息，避免因此类商品违规造成商品下架等。",文件获取
什么样的行为会造成不当发布商品或信息中的严重、极其严重违规？,"包含但不限于以下情形：
1）店铺内大量商品或者全部商品存在不当发布商品信息行为；
2）店铺多次发生“违规程度轻微或者严重”情形；
3）商家无视规则，重复上架违规商品；
4）商家逃避、对抗，或通过滥发商品信息获取不正当利益；
5）商家因不当发布商品或信息行为，造成重大客诉舆情。",文件获取
骚扰他人包括哪些情形？,"（一）商家在沟通过程中或者在评价或者在评价补充回复中等使用任何形式的有人身攻击、侮辱性等不文明语言的；
（二）商家在日常运营中骚扰、谩骂、威胁、恐吓、诅咒京东工作人员或其他与京东开放平台相关的关联人员等，散播恶意攻击京东的消息等情形的。",文件获取
什么样的语言是不文明语言？,商家在沟通过程中出现包括但不限于挑衅、质问、诋毁、辱骂等词语（含商家发送后被系统拦截的违规信息），严重影响消费者购物体验的语言等。,文件获取
骚扰他人违规如何区分违规程度的等级？,"（一）违规程度轻微包括但不限于：商家存在骚扰他人违规行为；
（二）违规程度一般包括但不限于：
通过电话、短信、咚咚、邮件等方式对他人实施侮辱、恐吓威胁、语言攻击的行为（如：带有辱骂含义的词汇、动物指代词汇、诅咒词汇等不文明用语）；
通过电话、短信、咚咚、邮件等方式频繁联系他人，影响他人正常生活的行为。
（三）违规程度严重包括但不限于：商家多次产生“违规程度一般”情形；
（四）违规程度极其严重包括但不限于：
严重影响他人正常生活，给他人身心造成极大伤害或造成严重恶劣影响的行为，如向消费者邮寄商品进行恐吓等行为；
多次产生“违规程度严重”情形或产生严重损害消费者体验重大舆情的。",文件获取
如商家被投诉骚扰她人，应如何提交申诉？,商家若被投诉"骚扰他人"，可在申诉期内就投诉方所表述的情况进行有针对性的说明和举证。路径“商家后台--体检中心—违规处理”通过查看违约单的“商家申诉”按钮进行凭证提交，商家可提供聊天记录截图（京东开放平台认可的聊天工具）等用以说明沟通情形。,文件获取
什么情形会判定消费者针对骚扰他人投诉成立但不支持赔付？,"出现下述任一情形的：
（一）消费者与卖家均存在骚扰、辱骂等相关行为，但消费者先行出现前述行为，且卖家未产生促使消费者情绪升级、矛盾激化等行为的。如，卖家未有激烈（基于频次、程度等判断）回骂、向消费者邮寄商品进行恐吓、威胁上门等。
（二）经京东认定，消费者在交易前不以成交为目的，交易后不以解决售后争议为目的，滥用本规则以实现其牟利意图的。如，出现挑衅、故意激怒卖家等行为，诱使或致使卖家违规。",文件获取
什么情况下，商家需要消费者提交材料后才可向消费者售出商品？,包括但不限于：在消费者办理运营商号卡或者购买处方药时，商家应根据规定要求用户提供身份证实名信息，消费者在购买处方药时根据规定需要提供医生开具的处方。,文件获取
特殊类商品，若消费者未按照平台要求提交资料该如何处理？,商家需按照法律法规要求消费者提供相关资质、证明材料，如消费者未提供材料，商家则不能为消费者提供相应商品或服务并应及时联系消费者告知相关情况。,文件获取
消费者提交的材料不符合规定，商家是否可以继续向消费者提供商品或服务？,如消费者提交材料不符合规定，商家需及时联系消费者，并依据国家法律法规、平台规则等判断是否继续提供商品或服务。,文件获取
为什么对恶意倒卖进行管控？,恶意倒卖损害消费者在个人信息、商品价格、商品质量、服务质量及物流履约等方面的权益保障，影响消费者购物体验。,文件获取
什么行为会被判定为恶意倒卖？,"判定为恶意倒卖的情况包括但不限于：
（一）包裹或运单上存在第三方平台或渠道标识或其他店铺信息；
（二）客户在京东下单后，运单信息显示来自其他平台或渠道的；
（三）客户在京东下单后，收到来自第三方平台或渠道的物流短信、售后电话等。",文件获取
哪种情况算违规程度严重或极其严重？,"（一）违规程度“严重”包括但不限于：
店铺多次发生“一般”违规程度的违规；
店铺在京东抽检过程中被认定为恶意倒卖违规；
店铺发生被消费者投诉、媒体报道等负面舆论事件。
（二）违规程度“极其严重”包括但不限于：产生两次及以上“严重”违规程度的违规或产生严重损害消费者体验重大舆情、监管投诉、监管举报、司法诉讼等的。",文件获取
商家因恶意倒卖被开具违约单后，可提供哪些材料进行申诉？,商家在申诉时可以提供包含但不限于清晰完整的物流底单、对于消费者收到的第三方信息、第三方包裹的解释文件及证明材料，以及后续改善方案等材料。,文件获取
商家被判定为恶意倒卖违规后，有哪些方式可进行整改？,"建议商家根据实际经营需求，选择合作的快递公司进行签约，开通京东无界电子面单服务，开通后可使用京东无界电子面单进行出库，参考链接：https://helpcenter.jd.com/vender/issue/830-3033.html（https://helpcenter.jd.com/vender/issue/830-3033.html）；如商家是厂家代发模式，可协调厂家使用京东的电子面单发货：https://helpcenter.jd.com/vender/issue/44605.html（https://helpcenter.jd.com/vender/issue/44605.html）。
商家可根据实际经营需求，入驻京东供销平台成为代销商，参考链接：https://helpcenter.jd.com/vender/issue/836-4448.html（https://helpcenter.jd.com/vender/issue/836-4448.html），供销平台主页：https://gxpt.jd.com/home（https://gxpt.jd.com/home）。",文件获取
诱导好评包括哪些情形？违规案例包括哪些？,"诱导好评出现的形式包括但不限于页面、咚咚聊天、快递包裹里（违规图片仅供参考）。
商家通过页面诱导好评，比如：
商家通过咚咚聊天诱导好评，比如：",文件获取
